
> hospital-dashboard@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.21.96.1:3000
- Environments: .env

✓ Starting...
Creating turbopack project { dir: 'E:\\downloads all\\Medi', testMode: true }
○ Compiling proxy ...
✓ Ready in 29s
○ Compiling /login ...
 GET /login?callbackUrl=%2F 200 in 11.8s (compile: 11.6s, proxy.ts: 6ms, render: 155ms)
 GET /login?callbackUrl=%2F 200 in 39ms (compile: 4ms, proxy.ts: 4ms, render: 32ms)
○ Compiling / ...
 GET /login 200 in 9.9s (compile: 9.6s, proxy.ts: 12ms, render: 278ms)
 GET / 200 in 20.8s (compile: 20.6s, proxy.ts: 5ms, render: 231ms)
○ Compiling /api/branches ...
 GET /api/branches 200 in 12.6s (compile: 5.9s, proxy.ts: 7ms, render: 6.6s)
 GET /api/dashboard 200 in 13.2s (compile: 8.9s, proxy.ts: 10ms, render: 4.4s)
 GET /api/products 200 in 13.6s (compile: 10.1s, proxy.ts: 10ms, render: 3.5s)
✓ Finished writing to filesystem cache in 10.5s
 GET /api/auth/session 200 in 17.6s (compile: 17.5s, proxy.ts: 8ms, render: 15ms)
 GET /api/auth/session 200 in 29ms (compile: 13ms, proxy.ts: 4ms, render: 12ms)
 GET /api/branches 200 in 23ms (compile: 6ms, proxy.ts: 9ms, render: 8ms)
 GET /api/auth/session 200 in 30ms (compile: 7ms, proxy.ts: 10ms, render: 12ms)
○ Compiling /stock ...
 GET /stock 200 in 4.5s (compile: 4.5s, proxy.ts: 4ms, render: 23ms)
 GET /api/products 200 in 427ms (compile: 4ms, proxy.ts: 8ms, render: 415ms)
 GET /api/products 200 in 297ms (compile: 3ms, proxy.ts: 6ms, render: 289ms)
 GET /api/batches 404 in 3.1s (compile: 3.1s, proxy.ts: 9ms, render: 69ms)
 GET /api/batches 404 in 66ms (compile: 19ms, proxy.ts: 3ms, render: 44ms)
 GET / 200 in 25ms (compile: 5ms, proxy.ts: 5ms, render: 16ms)
 GET /api/dashboard 200 in 24ms (compile: 7ms, proxy.ts: 6ms, render: 12ms)
 GET /api/dashboard 200 in 15ms (compile: 2ms, proxy.ts: 3ms, render: 10ms)
 GET /api/products 200 in 219ms (compile: 3ms, proxy.ts: 7ms, render: 208ms)
 GET /api/products 200 in 234ms (compile: 10ms, proxy.ts: 10ms, render: 214ms)
 GET /stock 200 in 22ms (compile: 4ms, proxy.ts: 5ms, render: 14ms)
 GET /api/batches 404 in 109ms (compile: 15ms, proxy.ts: 7ms, render: 87ms)
 GET /api/batches 404 in 53ms (compile: 7ms, proxy.ts: 4ms, render: 43ms)
 GET /api/products 200 in 272ms (compile: 4ms, proxy.ts: 10ms, render: 258ms)
 GET /api/products 200 in 220ms (compile: 2ms, proxy.ts: 5ms, render: 212ms)
 GET /login?callbackUrl=%2F 200 in 403ms (compile: 329ms, proxy.ts: 4ms, render: 70ms)
 GET / 200 in 18ms (compile: 4ms, proxy.ts: 3ms, render: 11ms)
 GET /api/dashboard 200 in 39ms (compile: 3ms, proxy.ts: 7ms, render: 29ms)
 GET /api/dashboard 200 in 15ms (compile: 2ms, proxy.ts: 3ms, render: 10ms)
 GET /api/products 200 in 203ms (compile: 6ms, proxy.ts: 6ms, render: 191ms)
 GET /api/products 200 in 215ms (compile: 2ms, proxy.ts: 4ms, render: 209ms)
○ Compiling /products ...
