
> hospital-dashboard@0.1.0 dev
> next dev --webpack

▲ Next.js 16.1.6 (webpack)
- Local:         http://localhost:3000
- Network:       http://172.21.96.1:3000
- Environments: .env

✓ Starting...
✓ Ready in 8.4s
○ Compiling / ...
 GET / 200 in 10.1s (compile: 9.8s, proxy.ts: 8ms, render: 339ms)
○ Compiling /api/auth/[...nextauth] ...
 GET /api/branches 200 in 4.8s (compile: 4.6s, proxy.ts: 104ms, render: 90ms)
 GET /api/dashboard 200 in 5.0s (compile: 4.6s, proxy.ts: 104ms, render: 278ms)
 GET /api/products 200 in 5.0s (compile: 4.6s, proxy.ts: 105ms, render: 354ms)
 GET / 200 in 411ms (compile: 133ms, proxy.ts: 16ms, render: 261ms)
 GET /api/auth/session 200 in 5.6s (compile: 5.4s, proxy.ts: 100ms, render: 36ms)
 GET /login?callbackUrl=%2F 200 in 1060ms (compile: 624ms, proxy.ts: 302ms, render: 134ms)
 GET /api/branches 200 in 51ms (compile: 16ms, proxy.ts: 28ms, render: 7ms)
 GET /purchases 200 in 767ms (compile: 724ms, proxy.ts: 6ms, render: 37ms)
 GET /api/products 200 in 309ms (compile: 75ms, proxy.ts: 23ms, render: 210ms)
 GET /api/products/aliases 200 in 989ms (compile: 942ms, proxy.ts: 24ms, render: 23ms)
 GET /api/suppliers 200 in 993ms (compile: 944ms, proxy.ts: 23ms, render: 26ms)
 GET /api/purchases 200 in 1070ms (compile: 942ms, proxy.ts: 24ms, render: 104ms)
 GET /api/products/aliases 200 in 76ms (compile: 4ms, proxy.ts: 57ms, render: 14ms)
 GET /api/suppliers 200 in 78ms (compile: 8ms, proxy.ts: 58ms, render: 12ms)
 GET /api/purchases 200 in 18ms (compile: 4ms, proxy.ts: 6ms, render: 7ms)
 GET /api/products 200 in 352ms (compile: 42ms, proxy.ts: 100ms, render: 211ms)
 GET / 200 in 87ms (compile: 53ms, proxy.ts: 5ms, render: 28ms)
 GET /api/dashboard 200 in 48ms (compile: 7ms, proxy.ts: 6ms, render: 34ms)
 GET /api/dashboard 200 in 16ms (compile: 4ms, proxy.ts: 5ms, render: 7ms)
 GET /api/products 200 in 220ms (compile: 12ms, proxy.ts: 7ms, render: 202ms)
 GET /api/products 200 in 216ms (compile: 2ms, proxy.ts: 6ms, render: 207ms)
 GET /api/auth/session 200 in 61ms (compile: 18ms, proxy.ts: 8ms, render: 35ms)
 GET /api/auth/csrf 200 in 39ms (compile: 9ms, proxy.ts: 4ms, render: 25ms)
 POST /api/auth/signout 200 in 46ms (compile: 5ms, proxy.ts: 7ms, render: 35ms)
 GET /login 200 in 170ms (compile: 10ms, proxy.ts: 5ms, render: 156ms)
 GET /api/auth/session 200 in 97ms (compile: 60ms, proxy.ts: 5ms, render: 32ms)
 GET /api/auth/session 200 in 38ms (compile: 11ms, proxy.ts: 7ms, render: 21ms)
 GET /api/auth/providers 200 in 46ms (compile: 15ms, proxy.ts: 11ms, render: 19ms)
 GET /api/auth/csrf 200 in 22ms (compile: 7ms, proxy.ts: 6ms, render: 9ms)
 POST /api/auth/callback/credentials 200 in 70ms (compile: 6ms, proxy.ts: 6ms, render: 59ms)
 GET /api/auth/session 200 in 48ms (compile: 7ms, proxy.ts: 6ms, render: 35ms)
 GET / 200 in 101ms (compile: 6ms, proxy.ts: 7ms, render: 89ms)
 GET /api/branches 200 in 35ms (compile: 11ms, proxy.ts: 11ms, render: 13ms)
 GET /api/dashboard 200 in 67ms (compile: 16ms, proxy.ts: 24ms, render: 27ms)
 GET /api/auth/session 200 in 70ms (compile: 42ms, proxy.ts: 13ms, render: 16ms)
 GET /api/branches 200 in 16ms (compile: 3ms, proxy.ts: 7ms, render: 6ms)
 GET /api/products 200 in 309ms (compile: 19ms, proxy.ts: 25ms, render: 264ms)
 GET /products 200 in 1802ms (compile: 1738ms, proxy.ts: 6ms, render: 58ms)
 GET /api/products 200 in 384ms (compile: 97ms, proxy.ts: 17ms, render: 270ms)
 GET /api/products 200 in 267ms (compile: 4ms, proxy.ts: 7ms, render: 256ms)
 PATCH /api/products/3394 200 in 3.0s (compile: 1854ms, proxy.ts: 17ms, render: 1169ms)
 GET /products 200 in 107ms (compile: 58ms, proxy.ts: 6ms, render: 42ms)
 GET /products 200 in 36ms (compile: 4ms, proxy.ts: 8ms, render: 24ms)
 GET /products 200 in 30ms (compile: 3ms, proxy.ts: 9ms, render: 17ms)
 GET /api/products 200 in 264ms (compile: 9ms, proxy.ts: 10ms, render: 245ms)
 GET /api/products 200 in 265ms (compile: 3ms, proxy.ts: 8ms, render: 254ms)
 GET /sales 200 in 913ms (compile: 869ms, proxy.ts: 10ms, render: 34ms)
 GET /api/products 200 in 436ms (compile: 54ms, proxy.ts: 14ms, render: 368ms)
 GET /api/sales 200 in 1604ms (compile: 1563ms, proxy.ts: 15ms, render: 26ms)
 GET /api/sales 200 in 61ms (compile: 5ms, proxy.ts: 21ms, render: 35ms)
 GET /api/products 200 in 337ms (compile: 13ms, proxy.ts: 104ms, render: 221ms)
 GET /purchases 200 in 83ms (compile: 46ms, proxy.ts: 9ms, render: 29ms)
 GET /api/products 200 in 343ms (compile: 21ms, proxy.ts: 11ms, render: 311ms)
 GET /api/purchases 200 in 1454ms (compile: 1411ms, proxy.ts: 13ms, render: 29ms)
 GET /api/products/aliases 200 in 1463ms (compile: 1412ms, proxy.ts: 12ms, render: 39ms)
 GET /api/suppliers 200 in 1466ms (compile: 1415ms, proxy.ts: 10ms, render: 41ms)
 GET /api/purchases 200 in 77ms (compile: 45ms, proxy.ts: 21ms, render: 10ms)
 GET /api/products/aliases 200 in 79ms (compile: 8ms, proxy.ts: 61ms, render: 10ms)
 GET /api/suppliers 200 in 84ms (compile: 12ms, proxy.ts: 62ms, render: 10ms)
 GET /api/products 200 in 382ms (compile: 34ms, proxy.ts: 102ms, render: 247ms)
 GET /stock 200 in 1015ms (compile: 973ms, proxy.ts: 6ms, render: 36ms)
 GET /api/products 200 in 300ms (compile: 39ms, proxy.ts: 10ms, render: 251ms)
 GET /api/batches 404 in 1881ms (compile: 1677ms, proxy.ts: 10ms, render: 194ms)
 GET /api/batches 404 in 76ms (compile: 10ms, proxy.ts: 18ms, render: 48ms)
 GET /api/products 200 in 1779ms (compile: 239ms, proxy.ts: 1315ms, render: 226ms)
 GET /finance 200 in 1423ms (compile: 1360ms, proxy.ts: 15ms, render: 48ms)
 GET /api/finance 200 in 807ms (compile: 777ms, proxy.ts: 10ms, render: 21ms)
 GET /api/finance 200 in 20ms (compile: 3ms, proxy.ts: 6ms, render: 11ms)
○ Compiling /reports ...
 GET /reports 200 in 5.3s (compile: 5.2s, proxy.ts: 7ms, render: 49ms)
 GET /api/batches 404 in 331ms (compile: 114ms, proxy.ts: 20ms, render: 197ms)
 GET /api/products 200 in 568ms (compile: 90ms, proxy.ts: 19ms, render: 460ms)
 GET /api/reports 200 in 1913ms (compile: 1864ms, proxy.ts: 19ms, render: 29ms)
 GET /api/batches 404 in 295ms (compile: 83ms, proxy.ts: 74ms, render: 139ms)
 GET /api/reports 200 in 231ms (compile: 107ms, proxy.ts: 111ms, render: 13ms)
 GET /api/products 200 in 508ms (compile: 45ms, proxy.ts: 74ms, render: 389ms)
 GET /suppliers 200 in 1240ms (compile: 1186ms, proxy.ts: 6ms, render: 48ms)
 GET /api/suppliers 200 in 711ms (compile: 685ms, proxy.ts: 9ms, render: 16ms)
 GET /api/suppliers 200 in 22ms (compile: 4ms, proxy.ts: 10ms, render: 8ms)
 GET /invoices 200 in 1227ms (compile: 1174ms, proxy.ts: 5ms, render: 48ms)
 GET /api/invoices 200 in 877ms (compile: 832ms, proxy.ts: 11ms, render: 35ms)
 GET /api/invoices 200 in 35ms (compile: 3ms, proxy.ts: 12ms, render: 19ms)
 GET /api/auth/csrf 200 in 1040ms (compile: 1006ms, proxy.ts: 6ms, render: 28ms)
 POST /api/auth/signout 200 in 47ms (compile: 9ms, proxy.ts: 6ms, render: 32ms)
 GET /login 200 in 1259ms (compile: 1084ms, proxy.ts: 6ms, render: 168ms)
 GET /api/auth/session 200 in 80ms (compile: 44ms, proxy.ts: 10ms, render: 26ms)
 GET /api/auth/providers 200 in 44ms (compile: 19ms, proxy.ts: 15ms, render: 11ms)
 GET /api/auth/csrf 200 in 31ms (compile: 8ms, proxy.ts: 7ms, render: 15ms)
 POST /api/auth/callback/credentials 401 in 33ms (compile: 9ms, proxy.ts: 6ms, render: 18ms)
 GET /api/auth/providers 200 in 59ms (compile: 16ms, proxy.ts: 9ms, render: 34ms)
 GET /api/auth/csrf 200 in 41ms (compile: 11ms, proxy.ts: 6ms, render: 24ms)
 POST /api/auth/callback/credentials 401 in 42ms (compile: 7ms, proxy.ts: 6ms, render: 29ms)
 GET /api/auth/providers 200 in 46ms (compile: 14ms, proxy.ts: 6ms, render: 25ms)
 GET /api/auth/csrf 200 in 39ms (compile: 5ms, proxy.ts: 7ms, render: 28ms)
 POST /api/auth/callback/credentials 401 in 44ms (compile: 7ms, proxy.ts: 5ms, render: 32ms)
 GET /api/auth/providers 200 in 55ms (compile: 12ms, proxy.ts: 7ms, render: 36ms)
 GET /api/auth/csrf 200 in 23ms (compile: 10ms, proxy.ts: 5ms, render: 8ms)
 POST /api/auth/callback/credentials 401 in 47ms (compile: 5ms, proxy.ts: 6ms, render: 36ms)
 GET /api/auth/providers 200 in 45ms (compile: 7ms, proxy.ts: 7ms, render: 31ms)
 GET /api/auth/csrf 200 in 41ms (compile: 8ms, proxy.ts: 9ms, render: 25ms)
 POST /api/auth/callback/credentials 401 in 32ms (compile: 15ms, proxy.ts: 7ms, render: 11ms)
 GET /api/auth/providers 200 in 45ms (compile: 11ms, proxy.ts: 7ms, render: 27ms)
 GET /api/auth/csrf 200 in 44ms (compile: 6ms, proxy.ts: 7ms, render: 30ms)
 POST /api/auth/callback/credentials 200 in 75ms (compile: 6ms, proxy.ts: 6ms, render: 64ms)
 GET /api/auth/session 200 in 40ms (compile: 9ms, proxy.ts: 6ms, render: 25ms)
 GET /sales 200 in 1276ms (compile: 1027ms, proxy.ts: 9ms, render: 241ms)
 GET /api/auth/session 200 in 124ms (compile: 69ms, proxy.ts: 30ms, render: 25ms)
 GET /api/sales 200 in 1633ms (compile: 1559ms, proxy.ts: 41ms, render: 34ms)
 GET /api/sales 200 in 49ms (compile: 4ms, proxy.ts: 6ms, render: 40ms)
 GET /api/products 200 in 1860ms (compile: 1569ms, proxy.ts: 31ms, render: 260ms)
 GET /api/products 200 in 283ms (compile: 6ms, proxy.ts: 8ms, render: 268ms)
 GET /invoices 200 in 62ms (compile: 30ms, proxy.ts: 7ms, render: 25ms)
 GET /api/invoices 200 in 31ms (compile: 6ms, proxy.ts: 6ms, render: 19ms)
