
> hospital-dashboard@0.1.0 dev
> next dev --webpack

▲ Next.js 16.1.6 (webpack)
- Local:         http://localhost:3000
- Network:       http://172.22.64.1:3000
- Environments: .env

✓ Starting...
✓ Ready in 19.7s
○ Compiling /login ...
 GET /login?callbackUrl=%2F 200 in 5.6s (compile: 5.1s, proxy.ts: 202ms, render: 334ms)
 GET /login 200 in 104ms (compile: 4ms, proxy.ts: 69ms, render: 31ms)
○ Compiling /sales ...
 GET /sales 200 in 8.3s (compile: 7.8s, proxy.ts: 6ms, render: 528ms)
 GET /sales 200 in 62ms (compile: 5ms, proxy.ts: 7ms, render: 49ms)
 GET /api/sales 200 in 3.5s (compile: 2.9s, proxy.ts: 11ms, render: 587ms)
 GET /api/products 200 in 3.8s (compile: 2.9s, proxy.ts: 10ms, render: 949ms)
 GET /api/auth/session 200 in 3.8s (compile: 3.7s, proxy.ts: 9ms, render: 94ms)
 GET /sales 200 in 339ms (compile: 52ms, proxy.ts: 6ms, render: 280ms)
 POST /api/auth/_log 200 in 44ms (compile: 17ms, proxy.ts: 15ms, render: 11ms)
 GET /api/auth/session 200 in 42ms (compile: 20ms, proxy.ts: 9ms, render: 13ms)
 GET /api/sales 200 in 44ms (compile: 12ms, proxy.ts: 11ms, render: 21ms)
 GET /api/sales 200 in 44ms (compile: 3ms, proxy.ts: 9ms, render: 32ms)
 GET /api/products 200 in 225ms (compile: 8ms, proxy.ts: 10ms, render: 207ms)
 GET /api/products 200 in 228ms (compile: 3ms, proxy.ts: 13ms, render: 213ms)
 GET /api/auth/csrf 200 in 48ms (compile: 10ms, proxy.ts: 5ms, render: 34ms)
 POST /api/auth/signout 200 in 26ms (compile: 4ms, proxy.ts: 5ms, render: 16ms)
 GET /login 200 in 55ms (compile: 12ms, proxy.ts: 7ms, render: 37ms)
 GET /api/auth/session 200 in 46ms (compile: 5ms, proxy.ts: 7ms, render: 35ms)
 GET /api/auth/providers 200 in 55ms (compile: 16ms, proxy.ts: 8ms, render: 30ms)
 GET /api/auth/csrf 200 in 36ms (compile: 5ms, proxy.ts: 6ms, render: 25ms)
 POST /api/auth/callback/credentials 200 in 68ms (compile: 4ms, proxy.ts: 5ms, render: 59ms)
 GET /api/auth/session 200 in 23ms (compile: 4ms, proxy.ts: 4ms, render: 15ms)
 GET / 200 in 1254ms (compile: 1069ms, proxy.ts: 7ms, render: 178ms)
 GET /api/auth/session 200 in 119ms (compile: 90ms, proxy.ts: 9ms, render: 20ms)
 GET /api/products 200 in 335ms (compile: 59ms, proxy.ts: 10ms, render: 265ms)
 GET /api/branches 200 in 1067ms (compile: 1042ms, proxy.ts: 10ms, render: 15ms)
 GET /api/branches 200 in 19ms (compile: 3ms, proxy.ts: 12ms, render: 4ms)
 GET /api/dashboard 200 in 1121ms (compile: 974ms, proxy.ts: 73ms, render: 73ms)
 GET /purchases 200 in 548ms (compile: 508ms, proxy.ts: 5ms, render: 34ms)
 GET /api/products 200 in 262ms (compile: 39ms, proxy.ts: 8ms, render: 214ms)
 GET /api/purchases 200 in 926ms (compile: 895ms, proxy.ts: 9ms, render: 22ms)
 GET /api/suppliers 200 in 930ms (compile: 897ms, proxy.ts: 8ms, render: 25ms)
 GET /api/products/aliases 200 in 936ms (compile: 895ms, proxy.ts: 9ms, render: 32ms)
 GET /api/purchases 200 in 64ms (compile: 32ms, proxy.ts: 13ms, render: 19ms)
 GET /api/suppliers 200 in 67ms (compile: 36ms, proxy.ts: 14ms, render: 18ms)
 GET /api/products/aliases 200 in 68ms (compile: 22ms, proxy.ts: 42ms, render: 5ms)
 GET /api/products 200 in 324ms (compile: 24ms, proxy.ts: 95ms, render: 205ms)
 GET /api/auth/session 200 in 61ms (compile: 19ms, proxy.ts: 11ms, render: 31ms)
 GET /api/auth/session 200 in 58ms (compile: 14ms, proxy.ts: 6ms, render: 38ms)
 GET /api/auth/session 200 in 107ms (compile: 71ms, proxy.ts: 12ms, render: 25ms)
 GET /api/auth/session 200 in 62ms (compile: 15ms, proxy.ts: 6ms, render: 41ms)
